Instelling,Toegangsnummer,Inventarisnummer,Aantal scans,METS link
NL-HaNA,1.04.02,63,657,https://service.archief.nl/gaf/api/mets/v1/fb180a7b-e567-43bd-93ca-55c91c0ae17b
NL-HaNA,1.04.02,64,656,https://service.archief.nl/gaf/api/mets/v1/fce491c4-12fd-4757-b62a-0c00cfccd3ac
NL-HaNA,1.04.02,65,479,https://service.archief.nl/gaf/api/mets/v1/41a7f709-b34c-4a23-b711-a20600c90a0c
NL-HaNA,1.04.02,66,545,https://service.archief.nl/gaf/api/mets/v1/a96c7990-295d-42ed-a6ad-3db4786c4deb
NL-HaNA,1.04.02,67,496,https://service.archief.nl/gaf/api/mets/v1/2aa244f3-d22e-4215-840c-4719b7decd6c
NL-HaNA,1.04.02,68,517,https://service.archief.nl/gaf/api/mets/v1/5c75f5ab-803a-47bc-ab9b-0c01bc033e15
NL-HaNA,1.04.02,69,397,https://service.archief.nl/gaf/api/mets/v1/ab2fb5b5-04dc-451d-bdd9-5b2df1408a32
NL-HaNA,1.04.02,70,408,https://service.archief.nl/gaf/api/mets/v1/64312996-e39b-4b1f-8b05-8c2403136f81
NL-HaNA,1.04.02,71,488,https://service.archief.nl/gaf/api/mets/v1/de72794a-aa51-46c7-a48f-9696087b1c43
NL-HaNA,1.04.02,72,662,https://service.archief.nl/gaf/api/mets/v1/dd16a537-2c8a-4a5a-9f33-829053317ea9
NL-HaNA,1.04.02,73,509,https://service.archief.nl/gaf/api/mets/v1/b7bc2243-365a-4c46-8ce3-6af90472d974
NL-HaNA,1.04.02,74,456,https://service.archief.nl/gaf/api/mets/v1/bff340cf-5efb-4754-8f92-e9bac5863a1e
NL-HaNA,1.04.02,75,509,https://service.archief.nl/gaf/api/mets/v1/c92b5929-9967-473f-8b47-3bb4eee935b8
NL-HaNA,1.04.02,76,550,https://service.archief.nl/gaf/api/mets/v1/f7e764cc-b96d-4d36-b5fe-7bc0059e1d5b
NL-HaNA,1.04.02,77,659,https://service.archief.nl/gaf/api/mets/v1/1cf28b02-a97a-4608-abbb-b8ec12342ef3
NL-HaNA,1.04.02,78,844,https://service.archief.nl/gaf/api/mets/v1/6137bfb9-01a4-46ba-b81e-79dc6fde460a
NL-HaNA,1.04.02,79,428,https://service.archief.nl/gaf/api/mets/v1/4a318bea-5f25-4c70-8cc9-f151cd1e6a5d
NL-HaNA,1.04.02,80,621,https://service.archief.nl/gaf/api/mets/v1/5d22b1b2-d494-46b4-8b49-643860d26cf6
NL-HaNA,1.04.02,81,416,https://service.archief.nl/gaf/api/mets/v1/7510bf23-8018-499c-92dc-8cf755c47594
NL-HaNA,1.04.02,82,505,https://service.archief.nl/gaf/api/mets/v1/5bd403ee-8a93-4301-ac52-0377be95a8bb
NL-HaNA,1.04.02,83,457,https://service.archief.nl/gaf/api/mets/v1/7dddf193-c8b6-4a1f-8d23-409c3179855a
NL-HaNA,1.04.02,84,587,https://service.archief.nl/gaf/api/mets/v1/e5b15a2f-e8af-4633-9631-4bcf9f0bff1d
NL-HaNA,1.04.02,85,360,https://service.archief.nl/gaf/api/mets/v1/3c6ff3a4-3918-46c1-a7e3-818295d3c0cd
NL-HaNA,1.04.02,86,629,https://service.archief.nl/gaf/api/mets/v1/5b31b3c0-9d2f-475f-8d08-c7167fc24008
NL-HaNA,1.04.02,87,604,https://service.archief.nl/gaf/api/mets/v1/9e6bb404-ce10-4014-9805-e8e79ec7c1a3
NL-HaNA,1.04.02,88,735,https://service.archief.nl/gaf/api/mets/v1/947f4a19-e038-44a8-9aec-91b5b3750934
NL-HaNA,1.04.02,89,543,https://service.archief.nl/gaf/api/mets/v1/24548c85-1676-4fb6-8c6b-8b08192201b2
NL-HaNA,1.04.02,90,543,https://service.archief.nl/gaf/api/mets/v1/e3e8fcb7-c6e2-4154-82be-265eada5cc81
NL-HaNA,1.04.02,91,359,https://service.archief.nl/gaf/api/mets/v1/bddcfa45-8633-4eee-9671-461895a7ae4d
NL-HaNA,1.04.02,92,513,https://service.archief.nl/gaf/api/mets/v1/73045751-9d15-43e3-8a26-05bf730d5ed3
NL-HaNA,1.04.02,93,497,https://service.archief.nl/gaf/api/mets/v1/be2dbdcf-a814-4dc9-9de7-226821d98055
NL-HaNA,1.04.02,94,540,https://service.archief.nl/gaf/api/mets/v1/270dd647-460b-4805-a508-b1f9e5574474
NL-HaNA,1.04.02,95,370,https://service.archief.nl/gaf/api/mets/v1/2de904ee-986a-44fc-82ac-f3ff1dea612b
NL-HaNA,1.04.02,96,404,https://service.archief.nl/gaf/api/mets/v1/9cb4c117-32d8-4df1-a762-ea69220209e8
NL-HaNA,1.04.02,97,604,https://service.archief.nl/gaf/api/mets/v1/b8990215-af01-45aa-bf07-9703601e7590
NL-HaNA,1.04.02,98,84,https://service.archief.nl/gaf/api/mets/v1/918a34cf-a5d0-408b-8ac5-676ed7027c21
NL-HaNA,1.04.02,99,278,https://service.archief.nl/gaf/api/mets/v1/ab2dfca3-6b9c-4b92-b934-8417d2587d99
NL-HaNA,1.04.02,101,968,https://service.archief.nl/gaf/api/mets/v1/e1dcb909-6f82-4d58-b8d7-2e80ecfee425
NL-HaNA,1.04.02,102,550,https://service.archief.nl/gaf/api/mets/v1/fedc0a29-2e21-445b-8101-d0e335366bc4
NL-HaNA,1.04.02,103,682,https://service.archief.nl/gaf/api/mets/v1/dadbc046-7b29-4a7c-a859-e52a6faa27e6
NL-HaNA,1.04.02,104,692,https://service.archief.nl/gaf/api/mets/v1/16aa9f95-ffe6-428b-900d-9ef53c5e4dc2
NL-HaNA,1.04.02,105,672,https://service.archief.nl/gaf/api/mets/v1/f4816e77-202b-42d9-8a4d-5f2fd6f7d9c1
NL-HaNA,1.04.02,106,694,https://service.archief.nl/gaf/api/mets/v1/8895805a-04ae-4b1e-90f2-39843ea65b86
NL-HaNA,1.04.02,107,936,https://service.archief.nl/gaf/api/mets/v1/5417b710-93c8-4100-81a2-31e220db0644
NL-HaNA,1.04.02,108,752,https://service.archief.nl/gaf/api/mets/v1/5ead738a-dbe3-46a9-a36b-85946dbe75e8
NL-HaNA,1.04.02,109,405,https://service.archief.nl/gaf/api/mets/v1/740bf5f1-0f79-4ee6-b50e-ce94428bf901
NL-HaNA,1.04.02,110,806,https://service.archief.nl/gaf/api/mets/v1/ab40f4c9-cb80-4f0b-ab61-06e80e300ab1
NL-HaNA,1.04.02,111,870,https://service.archief.nl/gaf/api/mets/v1/44e14b1d-f472-4c91-8943-d952430a9833
NL-HaNA,1.04.02,112,876,https://service.archief.nl/gaf/api/mets/v1/3d0ef8a4-aa0e-468b-84c4-3335fed289dd
NL-HaNA,1.04.02,113,768,https://service.archief.nl/gaf/api/mets/v1/55b12ab2-1c0e-4425-ad84-f41506db5081
NL-HaNA,1.04.02,114,650,https://service.archief.nl/gaf/api/mets/v1/82446a73-29f2-473c-8a4b-5ec038a2dccb
NL-HaNA,1.04.02,115,656,https://service.archief.nl/gaf/api/mets/v1/2eaf8ad3-1e46-491d-80b0-ed2a822ece99
NL-HaNA,1.04.02,116,666,https://service.archief.nl/gaf/api/mets/v1/736abc60-add6-46d3-8f12-dfa49b7abdc5
NL-HaNA,1.04.02,117,644,https://service.archief.nl/gaf/api/mets/v1/d90f5735-9884-460b-bcb1-5ea10cf86062
NL-HaNA,1.04.02,118,650,https://service.archief.nl/gaf/api/mets/v1/68cf947a-eb76-47e7-a359-f10447c7742d
NL-HaNA,1.04.02,119,660,https://service.archief.nl/gaf/api/mets/v1/fb30edfb-36c4-4482-8786-3d4f94390922
NL-HaNA,1.04.02,120,518,https://service.archief.nl/gaf/api/mets/v1/58c013ff-7e54-4fda-93f5-2aeac4a96f7e
NL-HaNA,1.04.02,121,556,https://service.archief.nl/gaf/api/mets/v1/d8284d33-7b26-4e74-9160-2ed610ea02f4
NL-HaNA,1.04.02,122,632,https://service.archief.nl/gaf/api/mets/v1/3da1560c-00f6-45d6-8bc5-c93af3ab537f
NL-HaNA,1.04.02,123,700,https://service.archief.nl/gaf/api/mets/v1/132ad2ac-ac78-4b94-a294-63ecdc647a34
NL-HaNA,1.04.02,124,746,https://service.archief.nl/gaf/api/mets/v1/6d20dae9-ea73-4450-8346-c3be88cf824c
NL-HaNA,1.04.02,125,668,https://service.archief.nl/gaf/api/mets/v1/26f8bc50-ab9e-454b-b3bf-eb1f2fc6c4a3
NL-HaNA,1.04.02,126,714,https://service.archief.nl/gaf/api/mets/v1/f6a7e814-a5a8-4e50-9bb6-2ec6a66b69c9
NL-HaNA,1.04.02,127,784,https://service.archief.nl/gaf/api/mets/v1/e8023405-661c-498d-a950-e69e629906d2
NL-HaNA,1.04.02,128,744,https://service.archief.nl/gaf/api/mets/v1/54bbda75-ee00-4a76-966f-fef9395b19f9
NL-HaNA,1.04.02,129,818,https://service.archief.nl/gaf/api/mets/v1/4bcf6e1e-9a73-47c6-a4fb-13ce4fa33662
NL-HaNA,1.04.02,130,736,https://service.archief.nl/gaf/api/mets/v1/62d3b7d3-743b-44c4-8d10-bcaee981e676
NL-HaNA,1.04.02,131,744,https://service.archief.nl/gaf/api/mets/v1/206f855b-3a8e-42ff-aa6a-5bea2ca2fb96
NL-HaNA,1.04.02,132,764,https://service.archief.nl/gaf/api/mets/v1/8fa058ae-9b13-4b5d-bf58-680133908390
NL-HaNA,1.04.02,133,862,https://service.archief.nl/gaf/api/mets/v1/0f162d61-a64a-4fe8-a8d6-2f4cf77ac7b7
NL-HaNA,1.04.02,134,938,https://service.archief.nl/gaf/api/mets/v1/9b602070-f53d-4189-8ac1-9d5045a02935
NL-HaNA,1.04.02,135,928,https://service.archief.nl/gaf/api/mets/v1/230d432d-3a85-4971-ba0b-14e735e9fdc1
NL-HaNA,1.04.02,136,956,https://service.archief.nl/gaf/api/mets/v1/8b30eb48-d78c-47c2-8a16-36d9ac095d02
NL-HaNA,1.04.02,137,1086,https://service.archief.nl/gaf/api/mets/v1/b527c675-b3c6-4e8c-815e-192a1f3f9a6b
NL-HaNA,1.04.02,138,1028,https://service.archief.nl/gaf/api/mets/v1/ccb8f313-65c9-4f96-9154-06287ae6d55f
NL-HaNA,1.04.02,139,1196,https://service.archief.nl/gaf/api/mets/v1/92fdde19-4fc4-4c63-a61b-5dd670e2bd90
NL-HaNA,1.04.02,140,992,https://service.archief.nl/gaf/api/mets/v1/48957cc9-0211-496e-bcdd-905966b910e6
NL-HaNA,1.04.02,141,1174,https://service.archief.nl/gaf/api/mets/v1/c8d17dfb-dbe4-49f9-91b2-b1bfa94021be
NL-HaNA,1.04.02,142,1240,https://service.archief.nl/gaf/api/mets/v1/b4bf7e88-fb30-49c8-9303-42f751d4127c
NL-HaNA,1.04.02,143,1054,https://service.archief.nl/gaf/api/mets/v1/116cb55c-58e6-4516-8bf8-a96bd4829c39
NL-HaNA,1.04.02,144,772,https://service.archief.nl/gaf/api/mets/v1/0f1d26d1-14a9-41ff-934e-cf3f504fa281
NL-HaNA,1.04.02,145,730,https://service.archief.nl/gaf/api/mets/v1/ae303bfa-7d61-4da5-b1ae-88e0eca8ebfa
NL-HaNA,1.04.02,148,1166,https://service.archief.nl/gaf/api/mets/v1/f6b42eae-0f98-49ac-8cbe-4598f26ac87e
NL-HaNA,1.04.02,149,1630,https://service.archief.nl/gaf/api/mets/v1/de63b637-5c1b-4568-93e4-a2bc1e65e4e7
NL-HaNA,1.04.02,150,1566,https://service.archief.nl/gaf/api/mets/v1/9bb695f6-bff7-4aad-b520-78162dc49aee
NL-HaNA,1.04.02,151,638,https://service.archief.nl/gaf/api/mets/v1/ecec3b26-12a1-4c0d-87df-6259ef8b2c18
NL-HaNA,1.04.02,152,1978,https://service.archief.nl/gaf/api/mets/v1/be516b33-4694-4857-b1b1-e0199242b689
NL-HaNA,1.04.02,153,1866,https://service.archief.nl/gaf/api/mets/v1/1ba2ce35-9ba6-472d-ba05-19a678814116
NL-HaNA,1.04.02,154,1932,https://service.archief.nl/gaf/api/mets/v1/3a47afbf-d263-4c84-bce4-f99acc5149b1
NL-HaNA,1.04.02,155,1602,https://service.archief.nl/gaf/api/mets/v1/efb49080-2c49-4990-8d23-99071bb9b25a
NL-HaNA,1.04.02,156,1298,https://service.archief.nl/gaf/api/mets/v1/2e6f26ef-520b-4ce9-9bcb-794b56269062
NL-HaNA,1.04.02,157,1084,https://service.archief.nl/gaf/api/mets/v1/66ebcf57-8374-4c7e-997f-093ea76269f6
NL-HaNA,1.04.02,158,948,https://service.archief.nl/gaf/api/mets/v1/5c1571c1-31ef-40ad-9c71-586473c2d5ed
NL-HaNA,1.04.02,159,958,https://service.archief.nl/gaf/api/mets/v1/c1f09099-6cdf-4a19-a9bc-b2226e40561b
NL-HaNA,1.04.02,160,1072,https://service.archief.nl/gaf/api/mets/v1/a540b5bd-3b0b-438c-8f48-e46872ef7882
NL-HaNA,1.04.02,161,1214,https://service.archief.nl/gaf/api/mets/v1/74473bfd-1bdc-4a06-81c9-883dba68177d
NL-HaNA,1.04.02,162,998,https://service.archief.nl/gaf/api/mets/v1/52caa8d2-d67b-4ee4-b15d-df9229431d92
NL-HaNA,1.04.02,163,1116,https://service.archief.nl/gaf/api/mets/v1/c61fd2bf-3c9c-44d6-b7c2-2da42f15e4da
NL-HaNA,1.04.02,164,1178,https://service.archief.nl/gaf/api/mets/v1/c52d71e8-2316-4073-96c1-8ccdf054b5dd
NL-HaNA,1.04.02,165,1648,https://service.archief.nl/gaf/api/mets/v1/18dc0f82-0939-4554-9441-bb969b985e80
NL-HaNA,1.04.02,166,1270,https://service.archief.nl/gaf/api/mets/v1/8ed2a079-2ea5-4daa-8e65-1bd1bcdfa605
NL-HaNA,1.04.02,167,1520,https://service.archief.nl/gaf/api/mets/v1/2969b900-af0c-4153-9f61-fba9fcdda6bb
NL-HaNA,1.04.02,168,1222,https://service.archief.nl/gaf/api/mets/v1/50eb532a-a0a0-446b-9504-cf0de2658ece
NL-HaNA,1.04.02,169,1196,https://service.archief.nl/gaf/api/mets/v1/3fe17542-2edc-49ea-97e7-a9280c2c46ae
NL-HaNA,1.04.02,170,1162,https://service.archief.nl/gaf/api/mets/v1/bf26a0e1-5504-4730-ba7c-2199d482cabd
NL-HaNA,1.04.02,171,1092,https://service.archief.nl/gaf/api/mets/v1/0427aff9-bff1-420b-9ae2-f58c1cfea176
NL-HaNA,1.04.02,172,882,https://service.archief.nl/gaf/api/mets/v1/29576ef1-c70e-4a61-9671-ef601851415b
NL-HaNA,1.04.02,173,944,https://service.archief.nl/gaf/api/mets/v1/90499764-2331-4ead-af46-989c5ec27183
NL-HaNA,1.04.02,174,1074,https://service.archief.nl/gaf/api/mets/v1/8b144d9a-3708-42fd-8a96-047411961e7f
NL-HaNA,1.04.02,175,956,https://service.archief.nl/gaf/api/mets/v1/3033111c-44f4-4bbb-b93a-d874e22ec6f1
NL-HaNA,1.04.02,176,1034,https://service.archief.nl/gaf/api/mets/v1/f9a20371-ddd4-493c-8002-089d8d4a8654
NL-HaNA,1.04.02,177,976,https://service.archief.nl/gaf/api/mets/v1/a90a3f99-38a9-42d2-9ab2-d84dd7cd8763
NL-HaNA,1.04.02,178,1036,https://service.archief.nl/gaf/api/mets/v1/42505bab-4d3a-49c9-991c-ba7e70c4e88a
NL-HaNA,1.04.02,179,984,https://service.archief.nl/gaf/api/mets/v1/3cefa661-e897-4432-a2d7-f3bd6a61a31c
NL-HaNA,1.04.02,180,1502,https://service.archief.nl/gaf/api/mets/v1/efdfa5de-cf49-4b92-8a67-c4e64d3e6097
NL-HaNA,1.04.02,181,1208,https://service.archief.nl/gaf/api/mets/v1/a4fbc854-e334-46cd-bd63-424eb34afb54
NL-HaNA,1.04.02,182,1330,https://service.archief.nl/gaf/api/mets/v1/33475ff3-a713-4955-abcc-971f3fcdccf4
NL-HaNA,1.04.02,183,758,https://service.archief.nl/gaf/api/mets/v1/a7bd552b-f663-44bf-8c0b-951f420fb380
NL-HaNA,1.04.02,184,886,https://service.archief.nl/gaf/api/mets/v1/e271bb6a-e6eb-47db-ab6c-134b86ab6d28
NL-HaNA,1.04.02,185,576,https://service.archief.nl/gaf/api/mets/v1/060e3c7c-4875-423f-a5c0-465baa2a76a8
NL-HaNA,1.04.02,186,638,https://service.archief.nl/gaf/api/mets/v1/fafe90c4-0c6d-4c6d-9bc1-b0771e2e3155
NL-HaNA,1.04.02,187,920,https://service.archief.nl/gaf/api/mets/v1/9a4db06e-df84-4911-a942-82102ac6ade5
NL-HaNA,1.04.02,188,684,https://service.archief.nl/gaf/api/mets/v1/e348efc7-c019-4cd0-b5be-7a982b0d19e3
NL-HaNA,1.04.02,189,812,https://service.archief.nl/gaf/api/mets/v1/cc149451-3472-4cf5-a8d9-05b23056e09d
NL-HaNA,1.04.02,190,850,https://service.archief.nl/gaf/api/mets/v1/63028dc4-9b10-41c4-bc7c-2318dd09a75c
NL-HaNA,1.04.02,191,1348,https://service.archief.nl/gaf/api/mets/v1/bfdfc028-2f86-4db6-8da2-edf7dd6d381e
NL-HaNA,1.04.02,192,1034,https://service.archief.nl/gaf/api/mets/v1/8f733309-a704-4a03-ade7-a416f4cf6dc6
NL-HaNA,1.04.02,193,1370,https://service.archief.nl/gaf/api/mets/v1/61afe37c-0aca-4744-9b58-897a28d3abdf
NL-HaNA,1.04.02,194,716,https://service.archief.nl/gaf/api/mets/v1/4df64ef6-6720-4d44-b107-fe7b4fa6fe14
NL-HaNA,1.04.02,195,1070,https://service.archief.nl/gaf/api/mets/v1/aa949e21-dc48-4e48-b109-f71d0352db83
NL-HaNA,1.04.02,196,1408,https://service.archief.nl/gaf/api/mets/v1/94a29c3c-e74d-4fdc-8836-b5b322009c45
NL-HaNA,1.04.02,197,776,https://service.archief.nl/gaf/api/mets/v1/d7da8729-1b7c-4b1e-90e1-0999f99fc292
NL-HaNA,1.04.02,198,760,https://service.archief.nl/gaf/api/mets/v1/252e2115-2cc6-4e12-a563-daa271013671
NL-HaNA,1.04.02,199,1352,https://service.archief.nl/gaf/api/mets/v1/f26a37cc-0d47-4506-ad1a-d2f02e2d60ce
NL-HaNA,1.04.02,200,1096,https://service.archief.nl/gaf/api/mets/v1/9301df58-aa90-49d5-9974-dbcfbbbb02ab
NL-HaNA,1.04.02,201,1376,https://service.archief.nl/gaf/api/mets/v1/0ea554a4-fbf7-4fbc-b86c-cfbed606b9fb
NL-HaNA,1.04.02,202,910,https://service.archief.nl/gaf/api/mets/v1/9263d8ce-b0a1-41c7-878b-6987644a4385
NL-HaNA,1.04.02,203,736,https://service.archief.nl/gaf/api/mets/v1/9f8f287f-0a01-42b7-9481-954ee4736120
NL-HaNA,1.04.02,204,1248,https://service.archief.nl/gaf/api/mets/v1/5ae0652f-c5d4-4812-a50e-7ce2adb9930d
NL-HaNA,1.04.02,205,376,https://service.archief.nl/gaf/api/mets/v1/6b579cff-915b-4d6c-abea-0e641902ba39
NL-HaNA,1.04.02,206,662,https://service.archief.nl/gaf/api/mets/v1/a4567eeb-f532-474d-a62a-b14d6b2a260f
NL-HaNA,1.04.02,207,638,https://service.archief.nl/gaf/api/mets/v1/a97b465a-1e40-44bc-8afd-a3747d765041
NL-HaNA,1.04.02,208,444,https://service.archief.nl/gaf/api/mets/v1/7f0bbfae-4558-428e-b845-494b0d2df1aa
NL-HaNA,1.04.02,209,788,https://service.archief.nl/gaf/api/mets/v1/7cce9947-d69c-4d7c-bee4-c810046b9a62
NL-HaNA,1.04.02,211,104,https://service.archief.nl/gaf/api/mets/v1/4a0690a1-f418-4c55-ba83-57c952d6a91f
NL-HaNA,1.04.02,212,222,https://service.archief.nl/gaf/api/mets/v1/9092108a-06ab-448f-a82d-726e02bcfccb
NL-HaNA,1.04.02,213,706,https://service.archief.nl/gaf/api/mets/v1/be497cdc-942f-4598-82c5-bc7a98e59077
NL-HaNA,1.04.02,214,602,https://service.archief.nl/gaf/api/mets/v1/dd53847b-c830-4a2a-aee6-d60dce216000
NL-HaNA,1.04.02,215,36,https://service.archief.nl/gaf/api/mets/v1/7043a8e6-14ed-4af3-81c7-08eb966a45b4
NL-HaNA,1.04.02,216,882,https://service.archief.nl/gaf/api/mets/v1/a931af33-45db-4e34-a4bc-2778c82b1793
NL-HaNA,1.04.02,217,998,https://service.archief.nl/gaf/api/mets/v1/7fd08125-e6a2-4f17-8683-c9eb57beabbd
NL-HaNA,1.04.02,218,1046,https://service.archief.nl/gaf/api/mets/v1/c98a7615-6839-4401-8c4f-2e26b710bfe2
NL-HaNA,1.04.02,219,1016,https://service.archief.nl/gaf/api/mets/v1/82ad434e-7c70-4237-9fa0-ac2afe5d8e33
NL-HaNA,1.04.02,220,936,https://service.archief.nl/gaf/api/mets/v1/1d905845-c879-4ed6-b9d7-dd049688f4f0
NL-HaNA,1.04.02,221,646,https://service.archief.nl/gaf/api/mets/v1/d7316f2d-2a21-42a4-8bcf-e36df706e02d
NL-HaNA,1.04.02,222,1140,https://service.archief.nl/gaf/api/mets/v1/253f7b02-a924-4b93-b693-2857f1ac768c
NL-HaNA,1.04.02,223,942,https://service.archief.nl/gaf/api/mets/v1/7f663e14-5687-4fa2-80b3-73f42368aae5
NL-HaNA,1.04.02,224,974,https://service.archief.nl/gaf/api/mets/v1/c93961a7-fe50-42e2-8ccd-9a05dd27f2fb
NL-HaNA,1.04.02,225,200,https://service.archief.nl/gaf/api/mets/v1/028c5e13-54f0-4f32-98e9-6d4e2e820ee3
